# Lesion L6_L4C
# Significant band/channel combinations (>=25% of bins pass FDR<0.05)

band       channel        depth  frac_sig  med_log2FC   max_abs   dir
delta      Ch5-Ch4       -0.265      0.60      -1.428     2.995  down
delta      Ch7-Ch6       +0.030      0.60      -0.874     1.457  down
delta      Ch8-Ch7       +0.180      0.80      -1.482     1.948  down
delta      Ch9-Ch8       +0.330      0.80      -1.324     3.083  down
delta      Ch10-Ch9      +0.480      0.60      -1.517     1.764  down
delta      Ch11-Ch10     +0.630      0.60      -1.504     1.932  down
delta      Ch12-Ch11     +0.780      0.80      -1.502     1.726  down
delta      Ch13-Ch12     +0.930      0.60      -1.126     1.973  down
delta      Ch14-Ch13     +1.080      0.60      -1.105     1.870  down
delta      Ch15-Ch14     +1.230      0.80      -1.593     2.550  down
theta      Ch1-Ch0       -0.865      0.57      -1.667     2.235  down
theta      Ch2-Ch1       -0.715      0.43      -1.754     1.988  down
theta      Ch3-Ch2       -0.565      1.00      -2.124     2.825  down
theta      Ch4-Ch3       -0.415      0.86      -2.864     3.523  down
theta      Ch5-Ch4       -0.265      1.00      -4.336     5.500  down
theta      Ch6-Ch5       -0.115      1.00      -2.514     2.733  down
theta      Ch7-Ch6       +0.030      1.00      -1.698     2.694  down
theta      Ch8-Ch7       +0.180      1.00      -1.859     2.906  down
theta      Ch9-Ch8       +0.330      1.00      -3.864     5.006  down
theta      Ch10-Ch9      +0.480      0.71      -2.114     2.958  down
theta      Ch11-Ch10     +0.630      0.71      -2.072     2.786  down
theta      Ch12-Ch11     +0.780      0.86      -2.013     2.619  down
theta      Ch13-Ch12     +0.930      0.86      -2.789     2.935  down
theta      Ch14-Ch13     +1.080      1.00      -2.828     2.953  down
theta      Ch15-Ch14     +1.230      0.57      -2.593     2.677  down
alpha      Ch3-Ch2       -0.565      0.50      -1.704     2.193  down
alpha      Ch4-Ch3       -0.415      0.62      -1.194     1.557  down
alpha      Ch5-Ch4       -0.265      0.62      -1.869     3.119  down
alpha      Ch6-Ch5       -0.115      1.00      -2.726     4.619  down
alpha      Ch7-Ch6       +0.030      0.62      -1.389     3.149  down
alpha      Ch8-Ch7       +0.180      0.88      -1.378     2.361  down
alpha      Ch9-Ch8       +0.330      1.00      -3.602     6.152  down
alpha      Ch10-Ch9      +0.480      1.00      -1.986     2.624  down
alpha      Ch11-Ch10     +0.630      1.00      -1.858     2.438  down
alpha      Ch12-Ch11     +0.780      0.88      -2.256     3.525  down
alpha      Ch13-Ch12     +0.930      1.00      -2.445     3.475  down
alpha      Ch14-Ch13     +1.080      1.00      -2.529     3.617  down
alpha      Ch15-Ch14     +1.230      1.00      -2.205     3.084  down
beta       Ch3-Ch2       -0.565      0.57      -1.341     1.732  down
beta       Ch4-Ch3       -0.415      0.43      -1.319     1.953  down
beta       Ch5-Ch4       -0.265      0.93      -1.618     2.252  down
beta       Ch6-Ch5       -0.115      1.00      -2.006     4.801  down
beta       Ch7-Ch6       +0.030      1.00      -2.050     3.347  down
beta       Ch8-Ch7       +0.180      1.00      -2.237     3.006  down
beta       Ch9-Ch8       +0.330      1.00      -2.866     6.633  down
beta       Ch10-Ch9      +0.480      1.00      -2.043     2.987  down
beta       Ch11-Ch10     +0.630      1.00      -2.151     2.950  down
beta       Ch12-Ch11     +0.780      0.96      -1.991     4.018  down
beta       Ch13-Ch12     +0.930      1.00      -2.760     3.646  down
beta       Ch14-Ch13     +1.080      1.00      -2.772     3.701  down
beta       Ch15-Ch14     +1.230      1.00      -2.666     3.692  down
low_gamma  Ch5-Ch4       -0.265      0.25      -0.952     1.236  down
low_gamma  Ch6-Ch5       -0.115      0.47      -1.143     1.594  down
low_gamma  Ch7-Ch6       +0.030      0.75      -1.106     1.641  down
low_gamma  Ch8-Ch7       +0.180      0.81      -1.420     2.087  down
low_gamma  Ch9-Ch8       +0.330      0.75      -1.443     2.798  down
low_gamma  Ch10-Ch9      +0.480      0.91      -1.771     3.271  down
low_gamma  Ch11-Ch10     +0.630      0.81      -1.720     3.170  down
low_gamma  Ch12-Ch11     +0.780      0.84      -1.679     2.658  down
low_gamma  Ch13-Ch12     +0.930      0.97      -1.824     3.378  down
low_gamma  Ch14-Ch13     +1.080      0.97      -1.959     3.270  down
low_gamma  Ch15-Ch14     +1.230      1.00      -2.029     2.891  down
high_gamma Ch5-Ch4       -0.265      0.68      -1.212     2.202  down
high_gamma Ch6-Ch5       -0.115      0.44      -1.133     1.671  down
high_gamma Ch7-Ch6       +0.030      0.26      -0.999     1.336  down
high_gamma Ch8-Ch7       +0.180      0.79      -1.474     2.240  down
high_gamma Ch9-Ch8       +0.330      0.98      -1.847     2.590  down
high_gamma Ch10-Ch9      +0.480      0.30      -0.950     1.342  down
high_gamma Ch12-Ch11     +0.780      0.52      -1.050     1.841  down
