# Lesion L5_L6
# Significant band/channel combinations (>=25% of bins pass FDR<0.05)

band       channel        depth  frac_sig  med_log2FC   max_abs   dir
delta      Ch1-Ch0       -0.865      0.40      -0.857     0.922  down
delta      Ch2-Ch1       -0.715      0.40      -0.833     0.922  down
theta      Ch1-Ch0       -0.865      0.43      +1.048     1.403    up
theta      Ch2-Ch1       -0.715      0.57      +0.905     1.363    up
theta      Ch3-Ch2       -0.565      0.29      +1.370     1.425    up
theta      Ch5-Ch4       -0.265      0.43      +1.963     2.366    up
theta      Ch6-Ch5       -0.115      0.57      +1.588     1.934    up
theta      Ch7-Ch6       +0.030      0.43      +1.864     1.934    up
theta      Ch8-Ch7       +0.180      0.43      +1.772     2.077    up
theta      Ch9-Ch8       +0.330      0.57      +2.292     2.461    up
theta      Ch12-Ch11     +0.780      0.43      +2.034     2.088    up
alpha      Ch1-Ch0       -0.865      1.00      -2.757     4.574  down
alpha      Ch2-Ch1       -0.715      1.00      -2.815     5.090  down
alpha      Ch5-Ch4       -0.265      0.25      -1.931     2.102  down
alpha      Ch6-Ch5       -0.115      0.25      -2.153     2.490  down
alpha      Ch8-Ch7       +0.180      0.25      -2.107     2.587  down
alpha      Ch9-Ch8       +0.330      0.38      -2.313     3.231  down
alpha      Ch12-Ch11     +0.780      0.38      +2.110     2.796    up
alpha      Ch15-Ch14     +1.230      0.38      +1.645     1.974    up
beta       Ch1-Ch0       -0.865      1.00      -2.208     4.525  down
beta       Ch2-Ch1       -0.715      1.00      -2.368     4.974  down
beta       Ch5-Ch4       -0.265      0.25      -1.671     2.677  down
high_gamma Ch1-Ch0       -0.865      0.66      -1.269     2.069  down
high_gamma Ch2-Ch1       -0.715      0.78      -1.467     2.728  down
