# Lesion L4C_L23 -- residual peaks/troughs
# Local extrema of (log2FC - smooth baseline) that lie inside cluster-significant bins.
# Sign +1 = focal power increase on top of baseline.
# Sign -1 = focal power decrease on top of baseline.

sign      channel   depth  freq(Hz)   log2FC  baseline  residual  prominence
   -    Ch15-Ch14  +1.230     42.72   -1.773    -0.759    -1.014       0.978
   -    Ch11-Ch10  +0.630      9.77   -1.884    -1.205    -0.678       0.966
   -    Ch14-Ch13  +1.080      7.32   -4.000    -3.896    -0.104       0.917
   -    Ch14-Ch13  +1.080     39.67   -1.969    -0.942    -1.027       0.895
   -    Ch13-Ch12  +0.930      7.32   -4.038    -3.809    -0.230       0.867
   -     Ch10-Ch9  +0.480      3.66   -1.665    -1.069    -0.597       0.832
   -     Ch10-Ch9  +0.480     15.26   -1.764    -1.263    -0.501       0.828
   -    Ch13-Ch12  +0.930     27.47   -2.974    -2.123    -0.851       0.812
   -    Ch14-Ch13  +1.080     34.18   -2.491    -1.427    -1.065       0.784
   -      Ch3-Ch2  -0.565      3.66   -1.147    -1.147    +0.000       0.756
   -    Ch11-Ch10  +0.630     24.41   -1.602    -1.038    -0.564       0.730
   -    Ch11-Ch10  +0.630      3.66   -1.694    -1.207    -0.487       0.728
   -    Ch15-Ch14  +1.230     19.53   -3.943    -3.296    -0.647       0.726
   -    Ch11-Ch10  +0.630     16.48   -1.697    -1.158    -0.539       0.716
   -    Ch14-Ch13  +1.080     23.80   -4.005    -3.008    -0.997       0.700
   -     Ch10-Ch9  +0.480     24.41   -1.636    -1.083    -0.553       0.686
   -      Ch3-Ch2  -0.565      7.93   -2.432    -1.641    -0.791       0.640
   -    Ch13-Ch12  +0.930     13.43   -5.076    -4.209    -0.866       0.623
   -    Ch13-Ch12  +0.930     34.18   -2.183    -1.382    -0.801       0.608
   -    Ch14-Ch13  +1.080     13.43   -5.357    -4.508    -0.850       0.529
   -    Ch15-Ch14  +1.230     96.44   -1.439    -0.516    -0.923       0.458
   -    Ch15-Ch14  +1.230      3.66   -1.796    -1.800    +0.004       0.458
   -    Ch15-Ch14  +1.230     23.80   -3.479    -2.942    -0.537       0.456
   -    Ch14-Ch13  +1.080     11.60   -4.932    -4.536    -0.395       0.418
