# Lesion L5_L23 -- residual peaks/troughs
# Local extrema of (log2FC - smooth baseline) that lie inside cluster-significant bins.
# Sign +1 = focal power increase on top of baseline.
# Sign -1 = focal power decrease on top of baseline.

sign      channel   depth  freq(Hz)   log2FC  baseline  residual  prominence
   +    Ch14-Ch13  +1.080     90.94   -0.834    -0.874    +0.040       0.534
   +    Ch13-Ch12  +0.930     60.42   -1.083    -0.767    -0.316       0.450
   +    Ch14-Ch13  +1.080     59.81   -0.993    -0.834    -0.159       0.417
   -    Ch15-Ch14  +1.230     49.44   -1.410    -0.407    -1.003       1.818
   -    Ch15-Ch14  +1.230      9.77   -1.690    -0.778    -0.912       1.799
   -     Ch10-Ch9  +0.480      9.16   -1.350    -0.340    -1.011       1.753
   -    Ch11-Ch10  +0.630      9.16   -1.398    -0.448    -0.951       1.535
   -    Ch13-Ch12  +0.930     58.59   -1.578    -0.766    -0.812       1.387
   -    Ch14-Ch13  +1.080     61.04   -1.539    -0.832    -0.707       1.367
   -    Ch13-Ch12  +0.930     49.44   -1.479    -0.660    -0.819       1.206
   -    Ch14-Ch13  +1.080     92.16   -1.481    -0.869    -0.612       1.149
   -    Ch15-Ch14  +1.230      5.49   -2.150    -1.329    -0.821       1.148
   -    Ch14-Ch13  +1.080     49.44   -1.567    -0.764    -0.803       1.069
