# Lesion L5_L6 -- residual peaks/troughs
# Local extrema of (log2FC - smooth baseline) that lie inside cluster-significant bins.
# Sign +1 = focal power increase on top of baseline.
# Sign -1 = focal power decrease on top of baseline.

sign      channel   depth  freq(Hz)   log2FC  baseline  residual  prominence
   +      Ch2-Ch1  -0.715     21.36   -1.257    -1.642    +0.385       1.378
   +      Ch1-Ch0  -0.865     21.36   -1.233    -1.579    +0.345       1.326
   +      Ch2-Ch1  -0.715     25.63   -0.878    -1.124    +0.246       1.100
   +      Ch2-Ch1  -0.715     77.51   -1.365    -1.034    -0.331       0.777
   +      Ch1-Ch0  -0.865     79.35   -1.138    -0.826    -0.312       0.726
   +      Ch1-Ch0  -0.865     17.09   -1.948    -1.888    -0.061       0.590
   +      Ch2-Ch1  -0.715     17.09   -2.177    -2.033    -0.143       0.516
   +      Ch2-Ch1  -0.715     31.13   -1.124    -0.797    -0.327       0.471
   +      Ch1-Ch0  -0.865     31.13   -1.088    -0.733    -0.356       0.420
   -      Ch2-Ch1  -0.715     14.04   -4.526    -2.177    -2.349       4.001
   -      Ch1-Ch0  -0.865     14.65   -4.266    -1.998    -2.268       3.692
   -      Ch9-Ch8  +0.330     14.04   -2.627    -0.570    -2.057       3.158
   -      Ch8-Ch7  +0.180     14.65   -2.136    -0.504    -1.631       2.434
   -      Ch6-Ch5  -0.115     14.04   -1.441    -0.225    -1.216       1.916
   -      Ch1-Ch0  -0.865     73.24   -1.929    -0.766    -1.163       1.748
   -      Ch5-Ch4  -0.265     14.04   -1.563    -0.598    -0.965       1.692
   -      Ch2-Ch1  -0.715     71.41   -2.149    -1.009    -1.140       1.671
   -      Ch2-Ch1  -0.715     31.74   -1.624    -0.631    -0.993       1.378
   -      Ch1-Ch0  -0.865     31.74   -1.522    -0.542    -0.981       1.326
   -      Ch2-Ch1  -0.715     24.41   -2.136    -1.281    -0.855       1.100
   -      Ch1-Ch0  -0.865     87.89   -1.372    -0.932    -0.440       0.924
   -      Ch2-Ch1  -0.715     84.23   -1.686    -1.103    -0.583       0.817
   -      Ch1-Ch0  -0.865     20.14   -2.262    -1.611    -0.651       0.590
   -      Ch2-Ch1  -0.715     20.14   -2.396    -1.736    -0.660       0.516
   -      Ch1-Ch0  -0.865     22.58   -1.850    -1.384    -0.466       0.458
