lesion,cluster_id,sign,ch_lo,ch_hi,depth_lo,depth_hi,f_lo,f_hi,n_bins,mass,p_cluster,median_log2fc,band_hint
L23_L5,1,+1,Ch6-Ch5,Ch6-Ch5,-0.115,-0.115,3.05,4.27,3,+11.048,0.0280,+0.9638,multi
L23_L5,2,-1,Ch1-Ch0,Ch1-Ch0,-0.865,-0.865,12.82,16.48,7,-39.713,0.0020,-1.7986,multi
L23_L5,3,-1,Ch2-Ch1,Ch2-Ch1,-0.715,-0.715,12.82,16.48,7,-39.002,0.0020,-1.8394,multi
L23_L5,4,-1,Ch3-Ch2,Ch3-Ch2,-0.565,-0.565,1.22,10.38,16,-114.643,0.0010,-2.2536,multi
L23_L5,5,-1,Ch3-Ch2,Ch3-Ch2,-0.565,-0.565,13.43,18.31,9,-41.641,0.0020,-1.9288,beta
L23_L5,6,-1,Ch3-Ch2,Ch3-Ch2,-0.565,-0.565,20.14,23.19,6,-22.545,0.0040,-1.2165,beta
L23_L5,7,-1,Ch3-Ch2,Ch3-Ch2,-0.565,-0.565,29.30,29.91,2,-9.937,0.0480,-1.3519,beta
L23_L5,8,-1,Ch3-Ch2,Ch3-Ch2,-0.565,-0.565,70.19,77.51,13,-55.972,0.0010,-1.6506,high_gamma
L23_L5,9,-1,Ch3-Ch2,Ch3-Ch2,-0.565,-0.565,78.74,86.06,13,-67.923,0.0010,-1.7204,high_gamma
L23_L5,10,-1,Ch3-Ch2,Ch3-Ch2,-0.565,-0.565,87.28,96.44,16,-70.202,0.0010,-1.6278,high_gamma
L23_L5,11,-1,Ch3-Ch2,Ch3-Ch2,-0.565,-0.565,97.66,99.49,4,-15.069,0.0110,-1.2716,high_gamma
L23_L5,12,-1,Ch4-Ch3,Ch4-Ch3,-0.415,-0.415,3.05,10.99,14,-94.034,0.0010,-2.2890,multi
L23_L5,13,-1,Ch4-Ch3,Ch4-Ch3,-0.415,-0.415,12.21,15.87,7,-31.664,0.0030,-1.6527,multi
L23_L5,14,-1,Ch4-Ch3,Ch4-Ch3,-0.415,-0.415,22.58,25.02,5,-17.565,0.0070,-1.0746,beta
L23_L5,15,-1,Ch4-Ch3,Ch4-Ch3,-0.415,-0.415,78.74,81.79,6,-24.437,0.0040,-1.2944,high_gamma
L23_L5,16,-1,Ch4-Ch3,Ch4-Ch3,-0.415,-0.415,84.84,86.67,4,-24.643,0.0040,-1.6980,high_gamma
L23_L5,17,-1,Ch4-Ch3,Ch4-Ch3,-0.415,-0.415,87.89,91.55,7,-27.996,0.0040,-1.3227,high_gamma
L23_L5,18,-1,Ch4-Ch3,Ch4-Ch3,-0.415,-0.415,92.77,95.21,5,-18.647,0.0060,-1.4321,high_gamma
L23_L5,19,-1,Ch4-Ch3,Ch4-Ch3,-0.415,-0.415,97.05,99.49,5,-26.013,0.0040,-1.4719,high_gamma
L23_L5,20,-1,Ch6-Ch5,Ch6-Ch5,-0.115,-0.115,12.82,15.87,6,-23.270,0.0040,-1.2914,multi
L23_L5,21,-1,Ch7-Ch6,Ch7-Ch6,+0.030,+0.030,14.04,15.26,3,-12.486,0.0170,-1.5629,beta
L23_L5,22,-1,Ch7-Ch6,Ch7-Ch6,+0.030,+0.030,92.77,93.99,3,-14.528,0.0130,-1.4658,high_gamma
L23_L5,23,-1,Ch7-Ch6,Ch7-Ch6,+0.030,+0.030,96.44,97.66,3,-10.382,0.0390,-1.0551,high_gamma
L23_L5,24,-1,Ch8-Ch7,Ch8-Ch7,+0.180,+0.180,14.04,15.26,3,-11.865,0.0210,-1.3281,beta
L23_L5,25,-1,Ch9-Ch8,Ch9-Ch8,+0.330,+0.330,12.82,14.65,4,-17.313,0.0070,-1.3923,multi
L4AB_L23,1,-1,Ch3-Ch2,Ch3-Ch2,-0.565,-0.565,3.05,4.88,4,-20.303,0.0040,-1.2991,multi
L4AB_L23,2,-1,Ch3-Ch2,Ch3-Ch2,-0.565,-0.565,9.77,11.60,4,-16.388,0.0070,-1.4354,alpha
L4AB_L23,3,-1,Ch4-Ch3,Ch4-Ch3,-0.415,-0.415,7.32,8.54,3,-12.476,0.0190,-1.6160,multi
L4AB_L23,4,-1,Ch4-Ch3,Ch4-Ch3,-0.415,-0.415,9.77,12.82,6,-26.698,0.0020,-1.4577,alpha
L4AB_L23,5,-1,Ch10-Ch9,Ch10-Ch9,+0.480,+0.480,5.49,10.38,9,-44.166,0.0020,-1.7852,multi
L4AB_L23,6,-1,Ch10-Ch9,Ch10-Ch9,+0.480,+0.480,15.26,16.48,3,-17.632,0.0060,-1.8533,beta
L4AB_L23,7,-1,Ch10-Ch9,Ch10-Ch9,+0.480,+0.480,18.92,21.36,5,-20.853,0.0040,-1.2214,beta
L4AB_L23,8,-1,Ch11-Ch10,Ch11-Ch10,+0.630,+0.630,5.49,11.60,11,-56.395,0.0020,-1.6979,multi
L4AB_L23,9,-1,Ch11-Ch10,Ch11-Ch10,+0.630,+0.630,15.87,16.48,2,-14.407,0.0100,-1.9201,beta
L4AB_L23,10,-1,Ch11-Ch10,Ch11-Ch10,+0.630,+0.630,18.31,21.36,6,-23.268,0.0030,-1.1911,beta
L4AB_L23,11,-1,Ch13-Ch12,Ch13-Ch12,+0.930,+0.930,3.05,36.62,56,-375.318,0.0010,-2.3169,multi
L4AB_L23,12,-1,Ch13-Ch12,Ch13-Ch12,+0.930,+0.930,38.45,39.67,3,-14.551,0.0090,-1.3642,low_gamma
L4AB_L23,13,-1,Ch13-Ch12,Ch13-Ch12,+0.930,+0.930,90.94,98.27,13,-49.565,0.0020,-1.1661,high_gamma
L4AB_L23,14,-1,Ch14-Ch13,Ch14-Ch13,+1.080,+1.080,3.05,32.35,49,-357.520,0.0010,-2.5429,multi
L4AB_L23,15,-1,Ch14-Ch13,Ch14-Ch13,+1.080,+1.080,33.57,37.23,7,-29.818,0.0020,-1.6116,low_gamma
L4AB_L23,16,-1,Ch14-Ch13,Ch14-Ch13,+1.080,+1.080,38.45,39.67,3,-13.424,0.0150,-1.2877,low_gamma
L4AB_L23,17,-1,Ch14-Ch13,Ch14-Ch13,+1.080,+1.080,90.94,94.60,7,-25.940,0.0020,-1.1659,high_gamma
L4AB_L23,18,-1,Ch14-Ch13,Ch14-Ch13,+1.080,+1.080,95.83,99.49,7,-28.890,0.0020,-1.3003,high_gamma
L4AB_L23,19,-1,Ch15-Ch14,Ch15-Ch14,+1.230,+1.230,3.66,6.10,5,-41.030,0.0020,-2.2841,multi
L4AB_L23,20,-1,Ch15-Ch14,Ch15-Ch14,+1.230,+1.230,7.32,10.38,6,-38.803,0.0020,-2.1193,multi
L4AB_L23,21,-1,Ch15-Ch14,Ch15-Ch14,+1.230,+1.230,14.04,17.09,6,-34.612,0.0020,-1.7403,beta
L4AB_L23,22,-1,Ch15-Ch14,Ch15-Ch14,+1.230,+1.230,18.92,30.52,20,-98.576,0.0010,-1.6856,multi
L4AB_L23,23,-1,Ch15-Ch14,Ch15-Ch14,+1.230,+1.230,31.74,39.67,14,-56.759,0.0020,-1.3795,low_gamma
L4AB_L23,24,-1,Ch15-Ch14,Ch15-Ch14,+1.230,+1.230,41.50,42.72,3,-10.197,0.0460,-1.0939,low_gamma
L4AB_L5,1,+1,Ch11-Ch10,Ch11-Ch10,+0.630,+0.630,4.27,5.49,3,+10.203,0.0300,+0.7808,theta
L4AB_L6,1,+1,Ch3-Ch2,Ch3-Ch2,-0.565,-0.565,49.44,51.88,5,+17.879,0.0010,+1.1718,multi
L4AB_L6,2,+1,Ch4-Ch3,Ch4-Ch3,-0.415,-0.415,29.30,30.52,3,+10.584,0.0230,+0.9392,multi
L4C_L23,1,+1,Ch9-Ch8,Ch9-Ch8,+0.330,+0.330,4.27,5.49,3,+11.874,0.0250,+1.1277,theta
L4C_L23,2,-1,Ch1-Ch0,Ch1-Ch0,-0.865,-0.865,14.04,16.48,5,-20.653,0.0120,-1.4027,beta
L4C_L23,3,-1,Ch2-Ch1,Ch2-Ch1,-0.715,-0.715,14.04,16.48,5,-21.337,0.0110,-1.4863,beta
L4C_L23,4,-1,Ch3-Ch2,Ch3-Ch2,-0.565,-0.565,3.05,10.99,14,-77.881,0.0030,-1.7211,multi
L4C_L23,5,-1,Ch3-Ch2,Ch3-Ch2,-0.565,-0.565,15.87,21.36,10,-43.155,0.0050,-1.3548,beta
L4C_L23,6,-1,Ch3-Ch2,Ch3-Ch2,-0.565,-0.565,91.55,93.99,5,-20.547,0.0120,-1.2328,high_gamma
L4C_L23,7,-1,Ch4-Ch3,Ch4-Ch3,-0.415,-0.415,3.05,9.77,12,-65.717,0.0040,-1.6147,multi
L4C_L23,8,-1,Ch4-Ch3,Ch4-Ch3,-0.415,-0.415,84.84,86.67,4,-15.641,0.0170,-1.2109,high_gamma
L4C_L23,9,-1,Ch6-Ch5,Ch6-Ch5,-0.115,-0.115,14.04,15.87,4,-16.312,0.0150,-1.3053,beta
L4C_L23,10,-1,Ch7-Ch6,Ch7-Ch6,+0.030,+0.030,14.04,15.26,3,-11.446,0.0280,-1.3727,beta
L4C_L23,11,-1,Ch8-Ch7,Ch8-Ch7,+0.180,+0.180,14.04,15.26,3,-14.099,0.0210,-1.5059,beta
L4C_L23,12,-1,Ch9-Ch8,Ch9-Ch8,+0.330,+0.330,14.04,15.26,3,-14.049,0.0210,-1.4306,beta
L4C_L23,13,-1,Ch10-Ch9,Ch10-Ch9,+0.480,+0.480,3.66,7.32,7,-28.478,0.0060,-1.1291,multi
L4C_L23,14,-1,Ch10-Ch9,Ch10-Ch9,+0.480,+0.480,8.54,11.60,6,-23.833,0.0060,-1.3085,alpha
L4C_L23,15,-1,Ch10-Ch9,Ch10-Ch9,+0.480,+0.480,14.65,17.09,5,-20.572,0.0120,-1.2750,beta
L4C_L23,16,-1,Ch10-Ch9,Ch10-Ch9,+0.480,+0.480,18.31,21.97,7,-37.317,0.0050,-1.7584,beta
L4C_L23,17,-1,Ch10-Ch9,Ch10-Ch9,+0.480,+0.480,23.19,25.63,5,-20.533,0.0120,-1.2279,beta
L4C_L23,18,-1,Ch10-Ch9,Ch10-Ch9,+0.480,+0.480,26.86,29.30,5,-17.914,0.0140,-1.1558,beta
L4C_L23,19,-1,Ch10-Ch9,Ch10-Ch9,+0.480,+0.480,46.39,47.61,3,-11.766,0.0260,-1.2847,low_gamma
L4C_L23,20,-1,Ch11-Ch10,Ch11-Ch10,+0.630,+0.630,3.66,10.38,12,-53.291,0.0040,-1.3457,multi
L4C_L23,21,-1,Ch11-Ch10,Ch11-Ch10,+0.630,+0.630,15.26,17.09,4,-15.247,0.0170,-1.3707,beta
L4C_L23,22,-1,Ch11-Ch10,Ch11-Ch10,+0.630,+0.630,18.31,21.36,6,-34.720,0.0050,-1.7390,beta
L4C_L23,23,-1,Ch11-Ch10,Ch11-Ch10,+0.630,+0.630,23.19,25.63,5,-18.833,0.0130,-1.2950,beta
L4C_L23,24,-1,Ch11-Ch10,Ch11-Ch10,+0.630,+0.630,30.52,31.74,3,-11.267,0.0290,-1.2464,low_gamma
L4C_L23,25,-1,Ch11-Ch10,Ch11-Ch10,+0.630,+0.630,38.45,39.67,3,-11.017,0.0330,-1.3400,low_gamma
L4C_L23,26,-1,Ch11-Ch10,Ch11-Ch10,+0.630,+0.630,46.39,49.44,6,-22.999,0.0070,-1.1302,low_gamma
L4C_L23,27,-1,Ch12-Ch11,Ch12-Ch11,+0.780,+0.780,14.65,15.87,3,-11.028,0.0330,-1.1958,beta
L4C_L23,28,-1,Ch13-Ch12,Ch13-Ch12,+0.930,+0.930,3.05,37.23,57,-534.026,0.0010,-3.5026,multi
L4C_L23,29,-1,Ch13-Ch12,Ch13-Ch12,+0.930,+0.930,38.45,39.67,3,-16.947,0.0140,-1.5682,low_gamma
L4C_L23,30,-1,Ch13-Ch12,Ch13-Ch12,+0.930,+0.930,46.39,48.22,4,-17.732,0.0140,-1.4437,low_gamma
L4C_L23,31,-1,Ch13-Ch12,Ch13-Ch12,+0.930,+0.930,86.06,89.11,6,-22.487,0.0070,-1.2500,high_gamma
L4C_L23,32,-1,Ch13-Ch12,Ch13-Ch12,+0.930,+0.930,90.33,94.60,8,-36.021,0.0050,-1.4631,high_gamma
L4C_L23,33,-1,Ch14-Ch13,Ch14-Ch13,+1.080,+1.080,3.05,39.67,61,-590.625,0.0010,-3.5560,multi
L4C_L23,34,-1,Ch14-Ch13,Ch14-Ch13,+1.080,+1.080,46.39,48.22,4,-16.113,0.0150,-1.4268,low_gamma
L4C_L23,35,-1,Ch14-Ch13,Ch14-Ch13,+1.080,+1.080,86.06,89.11,6,-21.959,0.0090,-1.2427,high_gamma
L4C_L23,36,-1,Ch14-Ch13,Ch14-Ch13,+1.080,+1.080,90.33,95.83,10,-43.999,0.0050,-1.3550,high_gamma
L4C_L23,37,-1,Ch14-Ch13,Ch14-Ch13,+1.080,+1.080,97.05,99.49,5,-18.264,0.0130,-1.0519,high_gamma
L4C_L23,38,-1,Ch15-Ch14,Ch15-Ch14,+1.230,+1.230,3.66,43.95,67,-549.850,0.0010,-2.9504,multi
L4C_L23,39,-1,Ch15-Ch14,Ch15-Ch14,+1.230,+1.230,46.39,48.22,4,-23.126,0.0070,-1.5276,low_gamma
L4C_L23,40,-1,Ch15-Ch14,Ch15-Ch14,+1.230,+1.230,93.99,97.66,7,-28.188,0.0060,-1.1669,high_gamma
L4C_L4AB,1,+1,Ch8-Ch7,Ch8-Ch7,+0.180,+0.180,9.77,12.21,5,+23.838,0.0050,+1.5391,alpha
L4C_L4AB,2,+1,Ch10-Ch9,Ch10-Ch9,+0.480,+0.480,6.10,7.32,3,+10.908,0.0480,+1.0288,theta
L4C_L4AB,3,+1,Ch11-Ch10,Ch11-Ch10,+0.630,+0.630,6.10,7.32,3,+11.392,0.0340,+1.0710,theta
L4C_L4AB,4,-1,Ch3-Ch2,Ch3-Ch2,-0.565,-0.565,4.27,5.49,3,-18.464,0.0070,-1.5436,theta
L4C_L4AB,5,-1,Ch4-Ch3,Ch4-Ch3,-0.415,-0.415,4.27,5.49,3,-15.695,0.0090,-1.2677,theta
L4C_L4AB,6,-1,Ch4-Ch3,Ch4-Ch3,-0.415,-0.415,9.77,10.99,3,-12.773,0.0220,-1.2396,alpha
L4C_L4AB,7,-1,Ch6-Ch5,Ch6-Ch5,-0.115,-0.115,4.27,6.10,4,-21.079,0.0060,-1.7416,theta
