lesion,band,channel,depth,frac_sig,median_log2fc,max_abs_log2fc,direction
L23_L5,delta,Ch3-Ch2,-0.565,1.000,-2.0212,2.8377,down
L23_L5,delta,Ch4-Ch3,-0.415,0.800,-1.5162,2.2620,down
L23_L5,theta,Ch3-Ch2,-0.565,1.000,-2.7982,3.3930,down
L23_L5,theta,Ch4-Ch3,-0.415,1.000,-2.3723,2.7942,down
L23_L5,alpha,Ch3-Ch2,-0.565,0.625,-1.4467,2.2797,down
L23_L5,alpha,Ch4-Ch3,-0.415,1.000,-1.7366,2.3312,down
L23_L5,beta,Ch1-Ch0,-0.865,0.286,-1.6371,2.6638,down
L23_L5,beta,Ch2-Ch1,-0.715,0.357,-1.4505,2.7267,down
L23_L5,beta,Ch3-Ch2,-0.565,0.893,-1.2887,2.2645,down
L23_L5,beta,Ch4-Ch3,-0.415,0.500,-1.1642,1.9367,down
L23_L5,low_gamma,Ch4-Ch3,-0.415,0.250,-0.8976,1.1938,down
L23_L5,high_gamma,Ch3-Ch2,-0.565,0.695,-1.5093,2.2313,down
L23_L5,high_gamma,Ch4-Ch3,-0.415,0.573,-1.2880,1.9063,down
L4AB_L23,delta,Ch3-Ch2,-0.565,0.400,-1.3815,1.7846,down
L4AB_L23,delta,Ch13-Ch12,+0.930,0.400,-1.7346,2.3769,down
L4AB_L23,delta,Ch14-Ch13,+1.080,0.400,-1.7502,2.3646,down
L4AB_L23,theta,Ch3-Ch2,-0.565,0.571,-1.2991,1.6216,down
L4AB_L23,theta,Ch4-Ch3,-0.415,0.286,-1.6453,1.6746,down
L4AB_L23,theta,Ch10-Ch9,+0.480,0.714,-1.6439,1.7852,down
L4AB_L23,theta,Ch11-Ch10,+0.630,0.714,-1.6978,1.8196,down
L4AB_L23,theta,Ch13-Ch12,+0.930,1.000,-2.2201,2.7486,down
L4AB_L23,theta,Ch14-Ch13,+1.080,1.000,-2.2325,2.6765,down
L4AB_L23,theta,Ch15-Ch14,+1.230,0.857,-2.1232,2.8636,down
L4AB_L23,alpha,Ch3-Ch2,-0.565,0.625,-1.3738,1.7020,down
L4AB_L23,alpha,Ch4-Ch3,-0.415,0.625,-1.5110,1.6960,down
L4AB_L23,alpha,Ch10-Ch9,+0.480,0.875,-1.9253,2.6846,down
L4AB_L23,alpha,Ch11-Ch10,+0.630,0.875,-2.0908,2.8086,down
L4AB_L23,alpha,Ch13-Ch12,+0.930,1.000,-2.7616,3.1944,down
L4AB_L23,alpha,Ch14-Ch13,+1.080,1.000,-2.7205,3.1776,down
L4AB_L23,alpha,Ch15-Ch14,+1.230,0.750,-2.1193,2.8164,down
L4AB_L23,beta,Ch10-Ch9,+0.480,0.536,-1.2223,2.0492,down
L4AB_L23,beta,Ch11-Ch10,+0.630,0.500,-1.1911,2.0592,down
L4AB_L23,beta,Ch13-Ch12,+0.930,1.000,-2.6149,3.8584,down
L4AB_L23,beta,Ch14-Ch13,+1.080,1.000,-2.7710,4.0090,down
L4AB_L23,beta,Ch15-Ch14,+1.230,0.929,-1.6856,2.6787,down
L4AB_L23,low_gamma,Ch13-Ch12,+0.930,0.719,-1.3035,1.8800,down
L4AB_L23,low_gamma,Ch14-Ch13,+1.080,0.719,-1.2877,1.9759,down
L4AB_L23,low_gamma,Ch15-Ch14,+1.230,0.750,-1.3137,1.8995,down
L4AB_L23,high_gamma,Ch13-Ch12,+0.930,0.366,-1.0847,1.7416,down
L4AB_L23,high_gamma,Ch14-Ch13,+1.080,0.427,-1.0113,1.8761,down
L4AB_L6,alpha,Ch4-Ch3,-0.415,0.250,+1.1645,1.2513,up
L4C_L23,delta,Ch3-Ch2,-0.565,0.600,-1.0687,1.1466,down
L4C_L23,delta,Ch4-Ch3,-0.415,0.400,-1.4140,1.4772,down
L4C_L23,delta,Ch13-Ch12,+0.930,1.000,-1.4578,1.7479,down
L4C_L23,delta,Ch14-Ch13,+1.080,1.000,-1.5126,1.7645,down
L4C_L23,delta,Ch15-Ch14,+1.230,0.400,-1.3423,1.7962,down
L4C_L23,theta,Ch3-Ch2,-0.565,1.000,-1.9695,2.4618,down
L4C_L23,theta,Ch4-Ch3,-0.415,1.000,-1.9255,2.6175,down
L4C_L23,theta,Ch9-Ch8,+0.330,0.286,+1.1818,1.2359,up
L4C_L23,theta,Ch10-Ch9,+0.480,1.000,-1.1291,1.3977,down
L4C_L23,theta,Ch11-Ch10,+0.630,1.000,-1.2445,1.5731,down
L4C_L23,theta,Ch13-Ch12,+0.930,1.000,-3.6298,4.0384,down
L4C_L23,theta,Ch14-Ch13,+1.080,1.000,-3.5560,3.9997,down
L4C_L23,theta,Ch15-Ch14,+1.230,1.000,-2.9504,3.4829,down
L4C_L23,alpha,Ch3-Ch2,-0.565,0.500,-1.9116,2.2676,down
L4C_L23,alpha,Ch4-Ch3,-0.415,0.625,-1.5908,1.7469,down
L4C_L23,alpha,Ch10-Ch9,+0.480,0.750,-1.3085,1.9986,down
L4C_L23,alpha,Ch11-Ch10,+0.630,0.750,-1.3485,1.8838,down
L4C_L23,alpha,Ch13-Ch12,+0.930,1.000,-4.3350,5.0896,down
L4C_L23,alpha,Ch14-Ch13,+1.080,1.000,-4.5543,5.3394,down
L4C_L23,alpha,Ch15-Ch14,+1.230,1.000,-3.5448,4.2392,down
L4C_L23,beta,Ch3-Ch2,-0.565,0.429,-1.3565,1.6326,down
L4C_L23,beta,Ch10-Ch9,+0.480,0.821,-1.2750,2.2151,down
L4C_L23,beta,Ch11-Ch10,+0.630,0.786,-1.2963,2.0112,down
L4C_L23,beta,Ch13-Ch12,+0.930,1.000,-3.6100,5.4410,down
L4C_L23,beta,Ch14-Ch13,+1.080,1.000,-4.0244,5.8219,down
L4C_L23,beta,Ch15-Ch14,+1.230,1.000,-3.4071,4.2459,down
L4C_L23,low_gamma,Ch10-Ch9,+0.480,0.438,-1.1183,1.7778,down
L4C_L23,low_gamma,Ch11-Ch10,+0.630,0.500,-1.1302,1.7497,down
L4C_L23,low_gamma,Ch13-Ch12,+0.930,0.812,-1.4723,2.3702,down
L4C_L23,low_gamma,Ch14-Ch13,+1.080,0.875,-1.5217,2.6901,down
L4C_L23,low_gamma,Ch15-Ch14,+1.230,0.875,-1.7309,2.8605,down
L4C_L23,high_gamma,Ch13-Ch12,+0.930,0.537,-1.0857,2.1938,down
L4C_L23,high_gamma,Ch14-Ch13,+1.080,0.573,-1.1068,2.1541,down
L4C_L23,high_gamma,Ch15-Ch14,+1.230,0.305,-0.9861,1.7989,down
L4C_L4AB,delta,Ch10-Ch9,+0.480,0.400,+0.7866,0.8049,up
L4C_L4AB,theta,Ch4-Ch3,-0.415,0.286,-1.5205,1.7734,down
L4C_L4AB,theta,Ch6-Ch5,-0.115,0.429,-1.8697,2.3419,down
L4C_L4AB,theta,Ch7-Ch6,+0.030,0.429,-2.2544,2.3399,down
L4C_L4AB,theta,Ch8-Ch7,+0.180,0.571,-0.2058,1.7379,down
L4C_L4AB,theta,Ch9-Ch8,+0.330,0.714,-1.8286,2.1397,down
L4C_L4AB,theta,Ch10-Ch9,+0.480,0.429,+1.0288,1.3152,up
L4C_L4AB,theta,Ch11-Ch10,+0.630,0.429,+1.0710,1.2778,up
L4C_L4AB,theta,Ch12-Ch11,+0.780,0.857,-2.0502,3.5120,down
L4C_L4AB,theta,Ch13-Ch12,+0.930,0.571,-1.6597,2.3337,down
L4C_L4AB,theta,Ch14-Ch13,+1.080,0.571,-1.7150,2.3887,down
L4C_L4AB,theta,Ch15-Ch14,+1.230,0.571,-2.4240,3.1407,down
L4C_L4AB,alpha,Ch4-Ch3,-0.415,0.375,-1.2827,1.5114,down
L4C_L4AB,alpha,Ch7-Ch6,+0.030,0.500,-1.3440,2.1485,down
L4C_L4AB,alpha,Ch8-Ch7,+0.180,0.625,+1.5391,1.7191,up
L4C_L4AB,alpha,Ch12-Ch11,+0.780,1.000,-1.8446,2.8594,down
L4C_L4AB,alpha,Ch13-Ch12,+0.930,0.375,-0.8930,1.3598,down
L4C_L4AB,alpha,Ch14-Ch13,+1.080,0.375,-0.9125,1.4000,down
L4C_L4AB,alpha,Ch15-Ch14,+1.230,0.375,-1.5064,1.8071,down
L4C_L4AB,beta,Ch7-Ch6,+0.030,0.964,-1.8730,3.3743,down
L4C_L4AB,beta,Ch10-Ch9,+0.480,0.714,-1.3708,1.9645,down
L4C_L4AB,beta,Ch11-Ch10,+0.630,0.607,-1.3284,1.7701,down
L4C_L4AB,beta,Ch12-Ch11,+0.780,1.000,-1.4242,2.4013,down
L4C_L4AB,beta,Ch13-Ch12,+0.930,0.857,-1.4313,1.9631,down
L4C_L4AB,beta,Ch14-Ch13,+1.080,0.857,-1.4431,1.9666,down
L4C_L4AB,low_gamma,Ch10-Ch9,+0.480,0.688,-1.1234,1.5971,down
L4C_L4AB,low_gamma,Ch11-Ch10,+0.630,0.312,-1.0680,1.4874,down
L4C_L4AB,low_gamma,Ch12-Ch11,+0.780,0.438,-0.9946,1.7677,down
L4C_L4AB,low_gamma,Ch13-Ch12,+0.930,0.406,-1.2288,1.5592,down
L4C_L4AB,low_gamma,Ch14-Ch13,+1.080,0.469,-1.1637,1.7658,down
L4C_L4AB,high_gamma,Ch10-Ch9,+0.480,0.634,-1.3184,2.2712,down
L4C_L4AB,high_gamma,Ch11-Ch10,+0.630,0.366,-1.1822,1.7487,down
L4C_L4AB,high_gamma,Ch12-Ch11,+0.780,0.610,-1.3163,2.0019,down
L5_L23,theta,Ch13-Ch12,+0.930,0.429,-0.8731,1.3333,down
L5_L23,theta,Ch15-Ch14,+1.230,0.571,-1.9305,2.1501,down
L5_L23,alpha,Ch11-Ch10,+0.630,0.375,-1.3984,1.4259,down
L5_L23,alpha,Ch13-Ch12,+0.930,0.500,-1.0196,1.1113,down
L5_L23,alpha,Ch14-Ch13,+1.080,0.500,-1.0021,1.0944,down
L5_L23,alpha,Ch15-Ch14,+1.230,0.375,-1.4144,1.6898,down
L5_L23,low_gamma,Ch13-Ch12,+0.930,0.281,-1.1031,1.4791,down
L5_L23,low_gamma,Ch14-Ch13,+1.080,0.250,-1.2145,1.5666,down
L5_L23,high_gamma,Ch13-Ch12,+0.930,0.427,-1.1250,1.5778,down
L5_L23,high_gamma,Ch14-Ch13,+1.080,0.524,-1.1176,1.6700,down
L5_L6,theta,Ch1-Ch0,-0.865,0.429,+0.9895,1.0477,up
L5_L6,theta,Ch2-Ch1,-0.715,0.571,+0.9378,1.2524,up
L5_L6,alpha,Ch1-Ch0,-0.865,0.625,-2.8631,3.6454,down
L5_L6,alpha,Ch2-Ch1,-0.715,0.625,-2.8639,3.7334,down
L5_L6,alpha,Ch8-Ch7,+0.180,0.250,-1.6968,1.7026,down
L5_L6,alpha,Ch9-Ch8,+0.330,0.250,-1.9602,2.2769,down
L5_L6,beta,Ch1-Ch0,-0.865,0.929,-1.8563,4.2663,down
L5_L6,beta,Ch2-Ch1,-0.715,0.964,-1.8932,4.5261,down
L5_L6,high_gamma,Ch1-Ch0,-0.865,0.549,-1.2625,1.9289,down
L5_L6,high_gamma,Ch2-Ch1,-0.715,0.622,-1.4500,2.1728,down
L6_L4C,delta,Ch5-Ch4,-0.265,0.400,-2.0775,2.5847,down
L6_L4C,delta,Ch7-Ch6,+0.030,0.400,-1.2801,1.3604,down
L6_L4C,delta,Ch8-Ch7,+0.180,0.800,-1.0010,1.4387,down
L6_L4C,delta,Ch9-Ch8,+0.330,0.400,-1.7224,2.0777,down
L6_L4C,delta,Ch15-Ch14,+1.230,0.400,-0.9583,1.0693,down
L6_L4C,theta,Ch1-Ch0,-0.865,0.571,-1.4519,1.7390,down
L6_L4C,theta,Ch3-Ch2,-0.565,0.714,-1.5699,2.6043,down
L6_L4C,theta,Ch4-Ch3,-0.415,1.000,-2.1270,2.8998,down
L6_L4C,theta,Ch5-Ch4,-0.265,1.000,-3.6754,4.7977,down
L6_L4C,theta,Ch6-Ch5,-0.115,1.000,-2.7732,3.3777,down
L6_L4C,theta,Ch7-Ch6,+0.030,0.571,-1.5936,2.1561,down
L6_L4C,theta,Ch8-Ch7,+0.180,0.857,-1.2562,1.7590,down
L6_L4C,theta,Ch9-Ch8,+0.330,1.000,-3.9819,4.8207,down
L6_L4C,theta,Ch10-Ch9,+0.480,0.857,-1.7959,2.9328,down
L6_L4C,theta,Ch11-Ch10,+0.630,0.857,-1.8289,3.0712,down
L6_L4C,theta,Ch12-Ch11,+0.780,0.714,-1.2021,1.7046,down
L6_L4C,theta,Ch13-Ch12,+0.930,0.857,-2.1432,3.0936,down
L6_L4C,theta,Ch14-Ch13,+1.080,0.857,-2.1695,3.1159,down
L6_L4C,theta,Ch15-Ch14,+1.230,0.714,-1.7526,2.8941,down
L6_L4C,alpha,Ch5-Ch4,-0.265,0.500,-1.1315,1.6457,down
L6_L4C,alpha,Ch6-Ch5,-0.115,1.000,-1.7479,2.7541,down
L6_L4C,alpha,Ch7-Ch6,+0.030,0.250,-1.6779,1.7990,down
L6_L4C,alpha,Ch8-Ch7,+0.180,0.750,-1.3134,2.3703,down
L6_L4C,alpha,Ch9-Ch8,+0.330,1.000,-3.0043,4.4229,down
L6_L4C,alpha,Ch10-Ch9,+0.480,0.625,-1.3820,1.5119,down
L6_L4C,alpha,Ch11-Ch10,+0.630,0.500,-1.3623,1.4611,down
L6_L4C,alpha,Ch12-Ch11,+0.780,0.875,-1.6742,2.6532,down
L6_L4C,alpha,Ch13-Ch12,+0.930,1.000,-1.6851,2.0420,down
L6_L4C,alpha,Ch14-Ch13,+1.080,1.000,-1.7404,2.0507,down
L6_L4C,alpha,Ch15-Ch14,+1.230,0.875,-1.9693,2.4757,down
L6_L4C,beta,Ch5-Ch4,-0.265,0.286,-1.1794,1.7996,down
L6_L4C,beta,Ch6-Ch5,-0.115,0.607,-1.6704,3.2665,down
L6_L4C,beta,Ch7-Ch6,+0.030,0.250,-1.2910,1.6956,down
L6_L4C,beta,Ch8-Ch7,+0.180,0.929,-1.1448,1.9613,down
L6_L4C,beta,Ch9-Ch8,+0.330,1.000,-1.7117,5.4097,down
L6_L4C,beta,Ch10-Ch9,+0.480,0.357,-1.3225,1.8956,down
L6_L4C,beta,Ch11-Ch10,+0.630,0.321,-1.3936,1.6139,down
L6_L4C,beta,Ch12-Ch11,+0.780,0.357,-1.4424,2.9384,down
L6_L4C,beta,Ch13-Ch12,+0.930,0.643,-1.2577,2.3165,down
L6_L4C,beta,Ch14-Ch13,+1.080,0.643,-1.2345,2.3149,down
L6_L4C,beta,Ch15-Ch14,+1.230,0.536,-1.2701,2.2704,down
L6_L4C,low_gamma,Ch8-Ch7,+0.180,0.406,-1.0928,1.6199,down
L6_L4C,low_gamma,Ch9-Ch8,+0.330,0.688,-1.1053,1.7511,down
L6_L4C,high_gamma,Ch5-Ch4,-0.265,0.305,-1.0988,1.5579,down
L6_L4C,high_gamma,Ch8-Ch7,+0.180,0.585,-1.1029,1.7294,down
L6_L4C,high_gamma,Ch9-Ch8,+0.330,0.805,-1.4145,2.3793,down
