lesion,cluster_id,sign,ch_lo,ch_hi,depth_lo,depth_hi,f_lo,f_hi,n_bins,mass,p_cluster,median_log2fc,band_hint
L4C_L4AB,5,-1,Ch7-Ch6,Ch7-Ch6,+0.030,+0.030,3.66,6.10,5,-32.297,0.0030,-2.2572,multi
L4C_L4AB,6,-1,Ch7-Ch6,Ch7-Ch6,+0.030,+0.030,14.65,24.41,17,-89.656,0.0020,-2.0482,beta
L4C_L4AB,7,-1,Ch7-Ch6,Ch7-Ch6,+0.030,+0.030,26.25,28.08,4,-16.062,0.0130,-1.4757,beta
L4C_L4AB,8,-1,Ch7-Ch6,Ch7-Ch6,+0.030,+0.030,29.91,31.74,4,-13.218,0.0140,-1.1047,multi
L4C_L4AB,9,-1,Ch7-Ch6,Ch7-Ch6,+0.030,+0.030,73.24,75.07,4,-15.286,0.0130,-1.1615,high_gamma
L4C_L4AB,10,-1,Ch7-Ch6,Ch7-Ch6,+0.030,+0.030,79.96,82.40,5,-19.696,0.0080,-1.2876,high_gamma
L4C_L4AB,11,-1,Ch7-Ch6,Ch7-Ch6,+0.030,+0.030,84.23,85.45,3,-10.729,0.0340,-1.1557,high_gamma
L4C_L4AB,12,-1,Ch8-Ch7,Ch8-Ch7,+0.180,+0.180,21.36,23.80,5,-17.820,0.0080,-1.1712,beta
L4C_L4AB,13,-1,Ch9-Ch8,Ch9-Ch8,+0.330,+0.330,12.82,14.65,4,-15.917,0.0130,-1.3998,multi
L4C_L4AB,14,-1,Ch9-Ch8,Ch9-Ch8,+0.330,+0.330,73.85,78.12,8,-29.293,0.0030,-1.0864,high_gamma
L4C_L4AB,15,-1,Ch10-Ch9,Ch10-Ch9,+0.480,+0.480,14.65,30.52,27,-133.938,0.0020,-1.8629,multi
L4C_L4AB,16,-1,Ch10-Ch9,Ch10-Ch9,+0.480,+0.480,31.74,37.23,10,-46.194,0.0020,-1.4247,low_gamma
L4C_L4AB,17,-1,Ch10-Ch9,Ch10-Ch9,+0.480,+0.480,47.00,48.83,4,-13.468,0.0140,-1.2001,low_gamma
L4C_L4AB,18,-1,Ch10-Ch9,Ch10-Ch9,+0.480,+0.480,69.58,71.41,4,-15.519,0.0130,-1.1778,high_gamma
L4C_L4AB,19,-1,Ch10-Ch9,Ch10-Ch9,+0.480,+0.480,82.40,87.28,9,-33.922,0.0030,-1.1176,high_gamma
L4C_L4AB,20,-1,Ch11-Ch10,Ch11-Ch10,+0.630,+0.630,14.65,18.92,8,-35.242,0.0030,-1.7357,beta
L4C_L4AB,21,-1,Ch11-Ch10,Ch11-Ch10,+0.630,+0.630,20.14,24.41,8,-39.368,0.0020,-1.9765,beta
L4C_L4AB,22,-1,Ch11-Ch10,Ch11-Ch10,+0.630,+0.630,25.63,30.52,9,-39.602,0.0020,-1.6713,multi
L4C_L4AB,23,-1,Ch11-Ch10,Ch11-Ch10,+0.630,+0.630,31.74,34.18,5,-25.222,0.0060,-1.5617,low_gamma
L4C_L4AB,24,-1,Ch11-Ch10,Ch11-Ch10,+0.630,+0.630,35.40,37.23,4,-15.986,0.0130,-1.4312,low_gamma
L4C_L4AB,25,-1,Ch11-Ch10,Ch11-Ch10,+0.630,+0.630,39.67,41.50,4,-15.605,0.0130,-1.0278,low_gamma
L4C_L4AB,26,-1,Ch11-Ch10,Ch11-Ch10,+0.630,+0.630,85.45,87.28,4,-15.593,0.0130,-1.2989,high_gamma
L4C_L4AB,27,-1,Ch11-Ch10,Ch11-Ch10,+0.630,+0.630,97.66,99.49,4,-14.308,0.0130,-1.0349,high_gamma
L4C_L4AB,28,-1,Ch12-Ch11,Ch12-Ch11,+0.780,+0.780,3.66,6.10,5,-53.210,0.0020,-3.5791,multi
L4C_L4AB,29,-1,Ch12-Ch11,Ch12-Ch11,+0.780,+0.780,8.54,10.99,5,-20.610,0.0070,-1.8415,alpha
L4C_L4AB,30,-1,Ch12-Ch11,Ch12-Ch11,+0.780,+0.780,12.21,22.58,18,-81.638,0.0020,-1.4889,multi
L4C_L4AB,31,-1,Ch12-Ch11,Ch12-Ch11,+0.780,+0.780,25.63,26.25,2,-10.643,0.0370,-1.8129,beta
L4C_L4AB,32,-1,Ch12-Ch11,Ch12-Ch11,+0.780,+0.780,27.47,28.69,3,-14.252,0.0130,-1.6037,beta
L4C_L4AB,33,-1,Ch12-Ch11,Ch12-Ch11,+0.780,+0.780,34.79,36.01,3,-14.050,0.0130,-1.1198,low_gamma
L4C_L4AB,34,-1,Ch12-Ch11,Ch12-Ch11,+0.780,+0.780,56.76,59.81,6,-25.356,0.0050,-1.3329,high_gamma
L4C_L4AB,35,-1,Ch12-Ch11,Ch12-Ch11,+0.780,+0.780,68.36,78.74,18,-75.410,0.0020,-1.4045,high_gamma
L4C_L4AB,36,-1,Ch12-Ch11,Ch12-Ch11,+0.780,+0.780,80.57,83.62,6,-22.347,0.0070,-1.1647,high_gamma
L4C_L4AB,37,-1,Ch12-Ch11,Ch12-Ch11,+0.780,+0.780,85.45,87.89,5,-20.504,0.0080,-1.3352,high_gamma
L4C_L4AB,38,-1,Ch12-Ch11,Ch12-Ch11,+0.780,+0.780,89.72,91.55,4,-16.366,0.0130,-1.2694,high_gamma
L4C_L4AB,39,-1,Ch13-Ch12,Ch13-Ch12,+0.930,+0.930,4.27,4.88,2,-10.887,0.0330,-1.9386,theta
L4C_L4AB,40,-1,Ch13-Ch12,Ch13-Ch12,+0.930,+0.930,9.16,40.28,52,-273.011,0.0010,-1.8608,multi
L4C_L4AB,41,-1,Ch14-Ch13,Ch14-Ch13,+1.080,+1.080,4.27,4.88,2,-11.544,0.0310,-2.0361,theta
L4C_L4AB,42,-1,Ch14-Ch13,Ch14-Ch13,+1.080,+1.080,9.16,32.96,40,-237.066,0.0010,-2.0942,multi
