lesion,cluster_id,sign,ch_lo,ch_hi,depth_lo,depth_hi,f_lo,f_hi,n_bins,mass,p_cluster,median_log2fc,band_hint
L6_L4C,35,-1,Ch10-Ch9,Ch10-Ch9,+0.480,+0.480,9.16,13.43,8,-57.448,0.0040,-2.3531,multi
L6_L4C,36,-1,Ch10-Ch9,Ch10-Ch9,+0.480,+0.480,14.65,18.92,8,-34.673,0.0060,-1.2148,beta
L6_L4C,37,-1,Ch10-Ch9,Ch10-Ch9,+0.480,+0.480,21.97,23.80,4,-16.847,0.0110,-1.4562,beta
L6_L4C,38,-1,Ch10-Ch9,Ch10-Ch9,+0.480,+0.480,25.63,28.08,5,-18.046,0.0090,-1.5560,beta
L6_L4C,39,-1,Ch11-Ch10,Ch11-Ch10,+0.630,+0.630,4.27,6.71,5,-32.572,0.0060,-2.0023,theta
L6_L4C,40,-1,Ch11-Ch10,Ch11-Ch10,+0.630,+0.630,9.16,13.43,8,-58.751,0.0040,-2.4075,multi
L6_L4C,41,-1,Ch11-Ch10,Ch11-Ch10,+0.630,+0.630,14.65,18.92,8,-33.773,0.0060,-1.1934,beta
L6_L4C,42,-1,Ch12-Ch11,Ch12-Ch11,+0.780,+0.780,4.27,7.32,6,-28.414,0.0060,-1.4235,theta
L6_L4C,43,-1,Ch12-Ch11,Ch12-Ch11,+0.780,+0.780,9.77,14.04,8,-51.730,0.0040,-2.1020,multi
L6_L4C,44,-1,Ch12-Ch11,Ch12-Ch11,+0.780,+0.780,15.26,16.48,3,-11.637,0.0330,-1.2600,beta
L6_L4C,45,-1,Ch12-Ch11,Ch12-Ch11,+0.780,+0.780,20.75,21.97,3,-10.848,0.0370,-1.2930,beta
L6_L4C,46,-1,Ch12-Ch11,Ch12-Ch11,+0.780,+0.780,68.36,71.41,6,-26.093,0.0080,-1.2121,high_gamma
L6_L4C,47,-1,Ch12-Ch11,Ch12-Ch11,+0.780,+0.780,73.85,76.29,5,-21.429,0.0090,-1.3242,high_gamma
L6_L4C,48,-1,Ch12-Ch11,Ch12-Ch11,+0.780,+0.780,80.57,82.40,4,-15.666,0.0140,-1.3582,high_gamma
L6_L4C,49,-1,Ch13-Ch12,Ch13-Ch12,+0.930,+0.930,4.27,7.32,6,-33.799,0.0060,-2.3253,theta
L6_L4C,50,-1,Ch13-Ch12,Ch13-Ch12,+0.930,+0.930,8.54,30.52,37,-233.956,0.0010,-1.9728,multi
L6_L4C,51,-1,Ch13-Ch12,Ch13-Ch12,+0.930,+0.930,32.96,34.18,3,-12.594,0.0250,-1.2201,low_gamma
L6_L4C,52,-1,Ch13-Ch12,Ch13-Ch12,+0.930,+0.930,42.11,43.95,4,-12.964,0.0210,-1.2238,low_gamma
L6_L4C,53,-1,Ch14-Ch13,Ch14-Ch13,+1.080,+1.080,4.27,7.32,6,-34.460,0.0060,-2.3176,theta
L6_L4C,54,-1,Ch14-Ch13,Ch14-Ch13,+1.080,+1.080,8.54,30.52,37,-241.835,0.0010,-2.0737,multi
L6_L4C,55,-1,Ch14-Ch13,Ch14-Ch13,+1.080,+1.080,42.11,43.95,4,-13.189,0.0180,-1.2327,low_gamma
L6_L4C,56,-1,Ch15-Ch14,Ch15-Ch14,+1.230,+1.230,4.88,6.10,3,-13.499,0.0180,-1.9524,theta
L6_L4C,57,-1,Ch15-Ch14,Ch15-Ch14,+1.230,+1.230,9.16,25.02,27,-161.452,0.0010,-1.9979,multi
L6_L4C,58,-1,Ch15-Ch14,Ch15-Ch14,+1.230,+1.230,26.25,30.52,8,-33.951,0.0060,-1.5256,multi
L6_L4C,59,-1,Ch15-Ch14,Ch15-Ch14,+1.230,+1.230,32.96,34.18,3,-13.899,0.0170,-1.5799,low_gamma
L6_L4C,60,-1,Ch15-Ch14,Ch15-Ch14,+1.230,+1.230,37.23,40.28,6,-25.118,0.0080,-1.1769,low_gamma
