# Lesion L4C_L4AB
# Significant band/channel combinations (>=25% of bins pass FDR<0.05)

band       channel        depth  frac_sig  med_log2FC   max_abs   dir
delta      Ch8-Ch7       +0.180      0.40      -1.365     1.498  down
delta      Ch10-Ch9      +0.480      0.40      +1.249     1.486    up
delta      Ch11-Ch10     +0.630      0.40      +1.297     1.639    up
delta      Ch12-Ch11     +0.780      0.40      -1.963     2.396  down
theta      Ch3-Ch2       -0.565      0.86      -1.204     1.494  down
theta      Ch4-Ch3       -0.415      0.57      -1.510     1.534  down
theta      Ch7-Ch6       +0.030      0.86      -1.074     1.406  down
theta      Ch9-Ch8       +0.330      0.29      -0.831     0.943  down
theta      Ch10-Ch9      +0.480      0.43      +0.879     1.688    up
theta      Ch11-Ch10     +0.630      0.43      +1.066     1.966    up
theta      Ch12-Ch11     +0.780      1.00      -2.304     4.200  down
theta      Ch13-Ch12     +0.930      0.86      -1.240     1.582  down
theta      Ch14-Ch13     +1.080      0.86      -1.289     1.606  down
theta      Ch15-Ch14     +1.230      0.86      -1.679     1.967  down
alpha      Ch3-Ch2       -0.565      0.62      -1.493     1.929  down
alpha      Ch4-Ch3       -0.415      0.75      -1.362     2.101  down
alpha      Ch6-Ch5       -0.115      0.62      -1.205     2.069  down
alpha      Ch7-Ch6       +0.030      0.75      -1.290     3.473  down
alpha      Ch8-Ch7       +0.180      0.50      +1.857     2.299    up
alpha      Ch9-Ch8       +0.330      0.38      -1.039     1.951  down
alpha      Ch10-Ch9      +0.480      0.50      -1.336     1.538  down
alpha      Ch11-Ch10     +0.630      0.50      -1.179     1.596  down
alpha      Ch12-Ch11     +0.780      0.88      -2.493     3.587  down
alpha      Ch13-Ch12     +0.930      0.88      -1.505     2.481  down
alpha      Ch14-Ch13     +1.080      1.00      -1.461     2.514  down
alpha      Ch15-Ch14     +1.230      0.62      -1.991     2.763  down
beta       Ch3-Ch2       -0.565      0.64      -1.544     2.104  down
beta       Ch4-Ch3       -0.415      0.50      -1.147     1.651  down
beta       Ch6-Ch5       -0.115      0.50      -1.781     2.618  down
beta       Ch7-Ch6       +0.030      1.00      -2.238     4.044  down
beta       Ch8-Ch7       +0.180      0.68      -1.321     2.055  down
beta       Ch9-Ch8       +0.330      0.64      -1.447     2.611  down
beta       Ch10-Ch9      +0.480      0.96      -1.850     2.493  down
beta       Ch11-Ch10     +0.630      0.96      -1.784     2.552  down
beta       Ch12-Ch11     +0.780      0.86      -1.609     3.168  down
beta       Ch13-Ch12     +0.930      1.00      -1.896     2.862  down
beta       Ch14-Ch13     +1.080      1.00      -1.945     2.852  down
beta       Ch15-Ch14     +1.230      0.86      -1.598     2.151  down
low_gamma  Ch7-Ch6       +0.030      0.31      -1.157     1.263  down
low_gamma  Ch10-Ch9      +0.480      0.97      -1.361     2.846  down
low_gamma  Ch11-Ch10     +0.630      0.81      -1.316     2.672  down
low_gamma  Ch12-Ch11     +0.780      0.94      -1.224     2.230  down
low_gamma  Ch13-Ch12     +0.930      0.88      -1.620     2.552  down
low_gamma  Ch14-Ch13     +1.080      0.84      -1.676     2.700  down
low_gamma  Ch15-Ch14     +1.230      1.00      -1.634     2.818  down
high_gamma Ch7-Ch6       +0.030      0.57      -1.251     2.330  down
high_gamma Ch10-Ch9      +0.480      0.82      -1.335     2.250  down
high_gamma Ch11-Ch10     +0.630      0.61      -1.219     2.010  down
high_gamma Ch12-Ch11     +0.780      0.85      -1.249     2.433  down
high_gamma Ch13-Ch12     +0.930      0.28      -1.093     1.485  down
high_gamma Ch14-Ch13     +1.080      0.30      -1.102     1.601  down
high_gamma Ch15-Ch14     +1.230      0.33      -1.112     2.156  down
