# Lesion L4C_L23
# Significant band/channel combinations (>=25% of bins pass FDR<0.05)

band       channel        depth  frac_sig  med_log2FC   max_abs   dir
delta      Ch3-Ch2       -0.565      0.60      -2.118     2.294  down
delta      Ch4-Ch3       -0.415      0.60      -1.873     2.092  down
delta      Ch10-Ch9      +0.480      0.60      -1.060     1.153  down
delta      Ch11-Ch10     +0.630      0.60      -1.111     1.184  down
delta      Ch13-Ch12     +0.930      1.00      -1.880     2.802  down
delta      Ch14-Ch13     +1.080      1.00      -1.771     3.025  down
delta      Ch15-Ch14     +1.230      1.00      -1.811     3.823  down
theta      Ch3-Ch2       -0.565      1.00      -3.226     4.511  down
theta      Ch4-Ch3       -0.415      1.00      -2.825     4.054  down
theta      Ch6-Ch5       -0.115      0.57      +1.726     2.059    up
theta      Ch7-Ch6       +0.030      0.43      +1.384     1.398    up
theta      Ch9-Ch8       +0.330      0.57      +1.867     2.331    up
theta      Ch10-Ch9      +0.480      0.43      -1.634     1.746  down
theta      Ch11-Ch10     +0.630      0.57      -1.699     1.880  down
theta      Ch12-Ch11     +0.780      0.29      +0.984     1.024    up
theta      Ch13-Ch12     +0.930      1.00      -4.964     6.427  down
theta      Ch14-Ch13     +1.080      1.00      -4.933     6.264  down
theta      Ch15-Ch14     +1.230      1.00      -5.234     5.664  down
alpha      Ch1-Ch0       -0.865      0.50      -0.136     2.887  down
alpha      Ch2-Ch1       -0.715      0.38      -1.507     3.052  down
alpha      Ch3-Ch2       -0.565      0.75      -1.961     2.946  down
alpha      Ch4-Ch3       -0.415      1.00      -1.715     2.277  down
alpha      Ch6-Ch5       -0.115      0.25      -1.903     2.550  down
alpha      Ch7-Ch6       +0.030      0.25      -1.761     2.380  down
alpha      Ch9-Ch8       +0.330      0.88      +1.655     2.255    up
alpha      Ch10-Ch9      +0.480      0.75      -1.387     2.301  down
alpha      Ch11-Ch10     +0.630      0.62      -1.496     2.135  down
alpha      Ch13-Ch12     +0.930      1.00      -5.761     6.919  down
alpha      Ch14-Ch13     +1.080      1.00      -6.867     7.737  down
alpha      Ch15-Ch14     +1.230      1.00      -5.063     6.730  down
beta       Ch1-Ch0       -0.865      0.46      -1.449     3.231  down
beta       Ch2-Ch1       -0.715      0.50      -1.425     3.354  down
beta       Ch3-Ch2       -0.565      1.00      -1.937     3.166  down
beta       Ch4-Ch3       -0.415      0.93      -1.525     2.051  down
beta       Ch7-Ch6       +0.030      0.36      -1.138     2.658  down
beta       Ch10-Ch9      +0.480      0.93      -1.672     2.500  down
beta       Ch11-Ch10     +0.630      0.96      -1.686     2.620  down
beta       Ch12-Ch11     +0.780      0.29      -1.479     2.373  down
beta       Ch13-Ch12     +0.930      1.00      -4.715     6.872  down
beta       Ch14-Ch13     +1.080      1.00      -5.319     7.850  down
beta       Ch15-Ch14     +1.230      1.00      -5.173     6.709  down
low_gamma  Ch3-Ch2       -0.565      0.50      -1.076     1.570  down
low_gamma  Ch4-Ch3       -0.415      0.25      -1.001     1.336  down
low_gamma  Ch10-Ch9      +0.480      0.78      -1.589     2.556  down
low_gamma  Ch11-Ch10     +0.630      0.81      -1.601     2.358  down
low_gamma  Ch12-Ch11     +0.780      0.25      -1.240     1.561  down
low_gamma  Ch13-Ch12     +0.930      0.97      -2.710     4.202  down
low_gamma  Ch14-Ch13     +1.080      0.97      -2.813     4.461  down
low_gamma  Ch15-Ch14     +1.230      1.00      -3.055     4.963  down
high_gamma Ch1-Ch0       -0.865      0.26      -1.160     1.627  down
high_gamma Ch2-Ch1       -0.715      0.28      -1.157     1.612  down
high_gamma Ch3-Ch2       -0.565      0.87      -1.429     2.216  down
high_gamma Ch4-Ch3       -0.415      0.63      -1.303     2.018  down
high_gamma Ch13-Ch12     +0.930      0.87      -1.391     2.544  down
high_gamma Ch14-Ch13     +1.080      0.87      -1.498     2.797  down
high_gamma Ch15-Ch14     +1.230      0.59      -1.176     2.023  down
